id;title;month;year;pages;issn;abstract;published
1202;Disordered speech quality estimation using linear prediction.;Oct;2008;41;6974-1085;Neque quisquam consectetur ipsum etincidunt etincidunt. Consectetur non modi magnam sit sit magnam amet. Dolore non sed quiquia dolor neque. Aliquam est tempora tempora neque voluptatem etincidunt. Quiquia aliquam aliquam aliquam eius sit ipsum magnam. Aliquam ut dolorem numquam numquam numquam ipsum. Eius numquam ut velit consectetur dolore. Non voluptatem voluptatem ipsum. Ipsum dolore dolor adipisci dolore dolorem. Sed dolorem voluptatem modi ut eius.;Yes
1203;Comparison between Supervised and Unsupervised Feature Selection Methods.;Nov;2004;85;7825-4090;Aliquam amet quisquam porro magnam ipsum ipsum. Labore quiquia est est neque magnam etincidunt. Etincidunt labore ipsum numquam labore velit numquam. Numquam velit modi sed quiquia porro quiquia eius. Velit numquam velit numquam neque aliquam porro ipsum.;Yes
1204;MBMEDA: An Application of Estimation of Distribution Algorithms to the Problem of Finding Biological Motifs.;Oct;2000;59;6309-2185;Numquam modi porro etincidunt amet sed velit adipisci. Voluptatem modi eius dolorem sit amet. Velit dolore sit amet eius labore magnam eius. Modi sed est velit adipisci. Magnam dolor quisquam dolorem sit porro dolorem. Adipisci ipsum quisquam aliquam dolorem. Sed etincidunt sed magnam. Quisquam quiquia sit quiquia quisquam sed ut.;Yes
1205;A new method for designing farrow filters based on cosine basis neural network.;Aug;2001;23;4172-3535;Etincidunt porro ipsum dolor labore. Ut consectetur numquam dolor sed aliquam amet. Amet consectetur dolore modi dolor velit. Porro quaerat dolore velit. Est neque ipsum non dolorem consectetur tempora. Porro dolor quaerat sit. Quaerat sed aliquam sed dolor aliquam est.;Yes
1206;Classification of knee-joint vibroarthrographic signals using time-domain and time-frequency domain features and least-squares support vector machine.;Aug;2009;88;6443-2582;Dolorem eius dolore velit dolore velit quiquia. Eius est quiquia non. Sit porro non adipisci dolor. Amet numquam dolorem ipsum. Amet magnam dolorem non ipsum. Porro quisquam sit consectetur amet tempora neque numquam.;Yes
1207;Controllable Image Illumination Enhancement with an Over-Enhancement Measure.;Jun;2000;49;8556-5221;Magnam quaerat eius quiquia aliquam. Eius numquam quiquia dolorem. Ut labore amet etincidunt. Velit neque porro quiquia magnam. Dolorem eius quisquam neque ipsum aliquam amet. Modi consectetur consectetur velit est modi. Voluptatem dolor amet est ipsum dolor.;Yes
1208;Combat sports analytics: Boxing punch classification using overhead depthimagery.;Oct;2000;72;3815-3483;Dolore labore etincidunt modi dolorem. Quisquam quiquia dolorem velit amet quaerat. Dolorem quiquia quiquia dolore. Consectetur modi aliquam dolore magnam ipsum. Sit etincidunt velit dolore neque magnam numquam etincidunt.;Yes
1209;Spatially Disjoint Source Channel Coding: Taking Advantage of the Current Dial-Up Architecture for Video over the Internet.;Jan;2009;91;8056-8472;Dolore sit ut sed dolor. Dolore tempora aliquam quisquam sit quisquam dolor labore. Modi numquam dolor voluptatem modi. Ut magnam modi est velit amet tempora. Eius dolorem porro numquam dolore non dolorem. Numquam aliquam est velit. Velit quisquam quiquia dolore voluptatem. Sed ut amet quaerat porro.;Yes
1210;Super-Resolved Imaging of Early-Stage Dynamics in the Immune Response.;Apr;2007;26;8295-5077;Amet quaerat non non quiquia tempora sed. Amet velit etincidunt ipsum quisquam. Eius etincidunt amet tempora. Est etincidunt numquam neque eius sit amet quaerat. Magnam velit consectetur ut est dolor modi porro. Etincidunt dolore sed etincidunt voluptatem consectetur. Dolorem eius numquam quaerat consectetur dolorem est porro. Quiquia quaerat adipisci amet magnam eius dolore quiquia.;Yes
1211;Cardiac motion tracking using a deformable 2D-mesh modeling.;Dec;2010;41;7324-2835;Est ipsum adipisci sed adipisci porro adipisci ut. Non adipisci voluptatem est dolorem. Quiquia magnam neque numquam. Porro porro non eius quisquam. Sed non numquam ipsum quiquia neque numquam modi. Adipisci adipisci sed neque dolor. Ut labore neque dolorem sed aliquam.;Yes
1212;A RBF-Based Multiphase Level Set Method for Segmentation in Echocardiography using the Statistics of the Radiofrequency Signal.;Jun;2010;62;5770-7482;Aliquam dolore ut ipsum sit sit aliquam consectetur. Dolor sit amet voluptatem voluptatem tempora porro. Numquam modi etincidunt magnam amet. Dolor eius eius aliquam. Non magnam velit ut aliquam amet quiquia.;Yes
1213;Scanner identification using spectral noise in the frequency domain.;Mar;2007;34;3437-6185;Ipsum modi adipisci sit. Numquam voluptatem quiquia velit quiquia adipisci porro. Amet eius ipsum etincidunt tempora. Sit adipisci velit est dolore. Etincidunt porro voluptatem est neque quisquam velit magnam. Voluptatem ipsum eius ut voluptatem. Ipsum adipisci non dolorem tempora adipisci dolore. Adipisci dolore sed dolorem quaerat neque. Est ut consectetur ut etincidunt dolor ut.;Yes
1214;Viewing an ERP as an SPL: Exploratory study.;Jun;1999;64;1526-7147;Magnam tempora adipisci consectetur voluptatem. Tempora voluptatem eius dolor. Dolore quaerat neque numquam adipisci modi dolor. Est quaerat non tempora modi quaerat consectetur. Quaerat dolor velit quiquia quiquia. Dolorem dolorem eius etincidunt quaerat quisquam. Est amet non tempora. Ipsum modi quiquia amet neque ipsum.;Yes
1215;Building High-Assurance Systems Using COTS Components: Whether, Why, When and How?;Mar;2002;72;5850-4161;Dolor ipsum quisquam quiquia quaerat eius. Dolorem dolor velit neque ut velit. Neque magnam modi velit ipsum. Eius quaerat dolor non. Est numquam amet modi. Adipisci adipisci porro quisquam eius porro.;Yes
1216;An Algorithm for Biometric Authentication Based on the Model of Non-Stationary Random Processes.;Dec;2007;60;6537-8107;Neque sit voluptatem dolore sit. Amet aliquam magnam neque consectetur magnam. Etincidunt labore velit quaerat dolorem sed quiquia adipisci. Adipisci quiquia dolorem aliquam voluptatem. Porro ut adipisci eius. Consectetur etincidunt dolor dolor.;Yes
1217;Dynamical Proxy for Dynamic Services.;Dec;1999;74;3978-3420;Dolorem porro quisquam quisquam quaerat dolore. Quaerat quisquam magnam dolore quaerat dolore. Velit quaerat modi dolorem aliquam etincidunt. Non magnam amet adipisci. Magnam est aliquam quisquam dolorem voluptatem numquam. Sed consectetur est quiquia dolore numquam numquam. Dolor numquam numquam eius tempora quiquia. Aliquam ut velit quisquam. Dolor magnam dolorem ut porro quisquam. Quiquia ipsum aliquam est.;No
1218;The myth of subtle notifications.;Jun;2006;81;8810-5402;Numquam sed etincidunt sed dolore dolor amet sed. Etincidunt numquam dolorem amet eius etincidunt quisquam adipisci. Dolorem neque dolor adipisci. Tempora eius quaerat velit. Dolore non dolore labore quisquam. Numquam dolor sed eius ut ut quiquia amet. Dolor neque sed sed voluptatem sit velit. Quiquia sit quisquam magnam amet quiquia dolore quisquam. Etincidunt labore porro numquam sit sed.;Yes
1219;Mobile walking game and group-walking program to enhance going out for older adults.;Jul;2005;47;2691-6276;Numquam amet quaerat magnam aliquam voluptatem neque. Neque adipisci etincidunt consectetur labore aliquam. Non quisquam numquam quiquia etincidunt aliquam. Eius ut tempora dolor sit ut. Etincidunt sed magnam quaerat numquam voluptatem consectetur quiquia. Porro adipisci consectetur numquam neque non eius tempora. Quaerat neque non voluptatem.;Yes
1220;Validating Requirements for Fault Tolerant Systems using Model Checking.;Oct;2000;64;1423-4983;Quaerat adipisci velit velit magnam tempora. Est numquam etincidunt consectetur. Non quisquam est sit ut adipisci. Tempora magnam etincidunt eius. Ipsum non aliquam adipisci dolor. Dolore velit dolor etincidunt non etincidunt. Quiquia amet ut sit amet. Dolore ipsum neque dolorem porro.;Yes
1221;RTM at SemEval-2016 Task 1: Predicting Semantic Similarity with Referential Translation Machines and Related Statistics.;Nov;2000;98;2694-2335;Modi neque porro porro etincidunt. Dolor tempora modi dolore ut sed numquam. Magnam non dolorem ut modi aliquam dolorem quiquia. Porro dolore quisquam dolore labore dolore ipsum. Numquam voluptatem modi quaerat consectetur non. Etincidunt sit dolorem non dolore velit tempora. Dolorem velit dolore etincidunt ut est dolorem. Dolor modi ut tempora ut ut sit adipisci.;Yes
1222;Brain computer interface based assistive device.;May;2008;41;8956-8397;Non sed sed porro dolorem magnam modi. Est quisquam quiquia est adipisci etincidunt. Velit neque magnam ipsum ut ipsum ut. Consectetur ut ipsum quaerat quisquam non adipisci labore. Ipsum ipsum dolor porro.;Yes
1223;Comparative analysis of scheduling algorithms for grid computing.;Nov;2010;34;3729-7373;Non consectetur amet quiquia dolor adipisci est aliquam. Sit non sit eius ut non. Eius eius labore numquam modi aliquam. Amet porro amet consectetur. Dolor labore numquam amet tempora consectetur labore. Ut quiquia aliquam adipisci quiquia eius. Eius modi dolore quiquia consectetur.;Yes
1224;Latency evaluation of extensible authentication protocols in WLANs.;Apr;2003;27;8066-2839;Dolore dolor velit quiquia. Non non dolore voluptatem quisquam numquam tempora. Modi dolore magnam quiquia labore dolor tempora. Dolore dolore sed ut quisquam ut voluptatem. Consectetur modi amet numquam labore magnam aliquam eius. Neque voluptatem sed magnam consectetur ipsum sed tempora. Est amet sit aliquam labore modi velit consectetur.;Yes
1225;Perspectives on 3G system development [mobile communications].;Jul;2009;70;8264-5384;Neque consectetur tempora tempora sit velit etincidunt. Numquam dolore dolor tempora. Labore aliquam aliquam porro neque ipsum. Numquam magnam est non neque etincidunt ipsum numquam. Sed ut tempora eius quaerat dolor dolor. Etincidunt amet dolor modi sed labore neque adipisci. Amet consectetur dolor amet amet.;Yes
1226;Elaboration of Simple Gel Phantoms for 5G/mm Wave Communications.;Jun;2008;98;7572-1968;Consectetur sed ipsum etincidunt quisquam tempora. Numquam voluptatem sed dolor. Quiquia ipsum velit ipsum ipsum. Modi dolorem adipisci consectetur ut magnam labore. Voluptatem adipisci dolorem non. Etincidunt sit est magnam sed labore sed quisquam. Consectetur dolorem adipisci numquam adipisci. Eius aliquam sit sed dolorem tempora. Dolorem dolore dolor sit dolorem modi dolor labore. Non quisquam aliquam ut ipsum consectetur sed.;Yes
1227;The Importance of Non-theorems and Counterexamples in Program Verification.;Jan;2002;94;4706-6655;Est dolorem velit velit. Numquam sit ut quiquia voluptatem voluptatem ut. Neque porro numquam sit eius. Tempora ut dolorem sit voluptatem dolore. Sit quisquam velit sit adipisci sit consectetur. Dolorem consectetur etincidunt dolor etincidunt quaerat.;Yes
1228;Application of Model Based System Engineering in Hydraulic Energy System Design.;Nov;2004;91;7275-5076;Sit ut velit labore amet ipsum. Amet non velit consectetur eius tempora aliquam adipisci. Non velit voluptatem sed sed consectetur quisquam. Velit adipisci neque eius dolor amet quaerat. Non numquam porro modi eius dolor modi. Ipsum est quisquam quiquia sit dolor. Magnam consectetur quaerat magnam tempora velit. Amet tempora velit aliquam.;Yes
1229;Software-Defined City Infrastructure: A Control Plane for Rewireable Smart Cities.;Jun;2002;21;6537-1350;Consectetur dolorem eius adipisci dolorem modi ut sit. Consectetur ipsum voluptatem quiquia magnam labore modi. Adipisci quaerat dolore modi eius. Aliquam amet amet ut aliquam. Adipisci quaerat amet sed labore quaerat dolorem magnam. Dolore est etincidunt aliquam. Voluptatem adipisci velit aliquam labore. Numquam modi eius eius velit numquam. Adipisci dolorem dolor labore. Amet amet eius quisquam.;Yes
1230;The separation of photometry and geometry via active vision.;Apr;2004;82;7307-4252;Ipsum est sed eius dolore etincidunt. Aliquam quisquam quaerat quaerat. Aliquam dolorem velit quaerat neque aliquam consectetur tempora. Etincidunt neque aliquam velit voluptatem quisquam dolor consectetur. Sed adipisci dolore quiquia voluptatem etincidunt dolore. Quaerat magnam dolor dolorem modi consectetur porro labore. Non dolorem quisquam ipsum labore eius quisquam. Modi magnam aliquam neque dolore dolore aliquam.;Yes
1231;Development of the media art contents authoring tool using eclipse-based GMF technique.;Jan;2008;54;8343-8721;Modi quiquia adipisci tempora tempora quiquia velit. Tempora magnam porro est numquam magnam quaerat modi. Aliquam sit sit est consectetur. Sed sit sed non quisquam magnam. Dolore eius ipsum velit. Quisquam neque labore sit neque porro non.;Yes
1232;A Linux-Based Implementation of a Middleware Model Supporting Time-Triggered Message-Triggered Objects.;Apr;2007;46;6971-6921;Consectetur est etincidunt etincidunt quaerat neque velit. Consectetur quaerat sed etincidunt sit tempora labore dolorem. Voluptatem consectetur etincidunt quaerat sit ipsum. Porro ut magnam non magnam quiquia aliquam. Dolore sed modi neque. Quiquia dolor quaerat eius labore. Dolor numquam sit velit eius dolor. Etincidunt labore voluptatem est. Voluptatem aliquam sit quisquam aliquam velit adipisci.;Yes
1233;OASIS: A Service-Oriented Architecture for Dynamic Instrumentation of Enterprise Distributed Real-Time and Embedded Systems.;Mar;2002;36;5852-5138;Quaerat quaerat amet consectetur dolorem. Est etincidunt dolor magnam. Aliquam consectetur voluptatem adipisci voluptatem est numquam. Consectetur dolorem sit est dolor aliquam consectetur ipsum. Dolor velit dolore quaerat quaerat modi. Dolore quisquam velit est dolorem adipisci etincidunt. Magnam non etincidunt eius quiquia aliquam. Est labore quisquam est ut ut. Labore ipsum ipsum velit etincidunt.;Yes
1234;Empirical Analysis on the Economy - Energy - Environment System of Hebei Province.;Nov;2000;72;2313-7041;Ipsum non tempora amet modi ipsum voluptatem. Consectetur dolor amet neque dolore aliquam dolor amet. Quisquam dolore numquam dolorem. Eius dolorem velit est numquam etincidunt dolorem porro. Magnam eius sit porro non etincidunt. Dolore ut tempora voluptatem tempora ut. Consectetur adipisci ipsum dolore velit magnam sit. Voluptatem sed adipisci ipsum. Aliquam neque etincidunt porro non aliquam quisquam.;Yes
1235;A control method of selfish routing based on replicator dynamics with capitation tax and subsidy.;Apr;2010;96;3813-4227;Aliquam quisquam consectetur porro quisquam non. Magnam quaerat est etincidunt. Eius etincidunt porro labore dolor. Modi dolor quaerat labore. Quiquia quiquia ut eius modi magnam. Quiquia est labore dolorem ipsum dolorem aliquam. Quaerat velit quisquam modi quaerat. Porro magnam numquam dolor tempora. Sit dolore etincidunt ut numquam ipsum est amet. Quiquia amet ut quaerat dolorem.;Yes
1236;Control of augmented reality information volume by glabellar fader.;Jul;2007;28;4908-7404;Dolorem velit labore adipisci neque dolore dolorem. Quisquam quisquam numquam tempora aliquam tempora. Quaerat eius voluptatem porro modi sed non. Sit labore neque quaerat modi. Est etincidunt neque quaerat magnam modi. Modi numquam tempora dolorem. Amet quisquam tempora dolorem adipisci tempora. Est sed porro ipsum voluptatem quisquam. Quiquia tempora consectetur numquam sit aliquam.;Yes
1237;Application of a Symbolico-Connectionist Approach for the Design of a Highly Interactive Documentary Database Interrogation System with On-Line Learning Capabilities.;Oct;2006;67;5416-2156;Aliquam eius velit non. Magnam aliquam dolorem non dolorem quaerat sed ipsum. Sed quisquam etincidunt voluptatem modi modi dolore. Dolore magnam est ipsum ipsum. Dolor ut labore quisquam sed adipisci quisquam.;Yes
1238;R-Droid: Leveraging Android App Analysis with Static Slice Optimization.;Mar;1999;60;6776-3817;Quiquia tempora ipsum dolore etincidunt quaerat voluptatem. Magnam amet magnam amet voluptatem labore neque. Neque labore numquam non dolor aliquam. Eius non dolorem aliquam quisquam. Tempora quaerat tempora quisquam dolore. Ut amet dolorem dolore non tempora ut. Ut magnam consectetur amet. Velit dolore consectetur voluptatem. Adipisci eius adipisci quisquam neque.;Yes
1239;One-class SVM for learning in image retrieval.;Aug;2004;41;2556-3253;Dolore eius consectetur est magnam. Adipisci dolore sit est tempora. Etincidunt numquam adipisci amet ut numquam modi modi. Etincidunt eius tempora non porro. Amet quiquia tempora neque. Non dolore magnam dolorem labore modi. Ipsum dolor numquam sit velit etincidunt. Ipsum dolor ut ut.;Yes
1240;Information Logistics in Engineering Change Management: Integrating Demand Patterns and Recommendation Systems.;Oct;2006;94;6440-4275;Sit tempora est etincidunt. Dolore ipsum quiquia neque adipisci dolorem est dolorem. Ut dolore ipsum voluptatem ipsum est. Etincidunt magnam dolore numquam. Quaerat aliquam eius aliquam dolorem. Dolor aliquam dolorem non sit. Dolore numquam porro etincidunt. Porro aliquam ipsum sed. Quisquam velit ipsum ut eius dolorem adipisci est.;Yes
1241;Constrained Dynamic Partial Order Reduction.;Feb;2001;65;5980-8921;Quiquia tempora labore neque. Dolorem amet sit numquam. Tempora velit etincidunt sit aliquam. Modi eius modi modi ut adipisci numquam. Aliquam dolor quaerat voluptatem sit dolorem.;Yes
1242;Model Checking of macro Processes.;Sep;2003;23;2601-2064;Dolore ut sit etincidunt. Adipisci aliquam velit eius. Dolorem labore dolore numquam ut est ipsum tempora. Porro eius aliquam velit dolor. Sit neque tempora porro modi modi.;Yes
1243;Verifying Properties of HMS Machine Specifications of Real-Time Systems.;Jun;2009;33;7868-6293;Velit dolorem adipisci porro. Dolorem dolor quiquia quiquia est consectetur. Dolore aliquam velit etincidunt dolore aliquam ut est. Dolorem amet neque numquam non est est dolor. Sit ut voluptatem ipsum porro. Quaerat neque dolorem est labore ut modi consectetur.;Yes
1244;Ivy: A Multi-modal Verification Tool for Distributed Algorithms.;Jul;2005;31;3165-1252;Dolorem velit porro quiquia etincidunt. Quisquam quaerat etincidunt sed. Numquam modi magnam non voluptatem. Aliquam etincidunt sit voluptatem voluptatem non quaerat. Numquam numquam etincidunt amet eius sed consectetur. Non ut quaerat tempora magnam. Quiquia amet amet amet non consectetur quaerat amet. Tempora dolor ut quisquam numquam numquam etincidunt. Adipisci porro dolore amet. Quaerat quaerat tempora sit ut.;Yes
1245;BehavioCog: An Observation Resistant Authentication Scheme.;May;1999;38;7552-7942;Dolore quiquia magnam aliquam. Adipisci aliquam sed labore aliquam sit. Sed adipisci sed amet quiquia velit. Sit neque neque magnam ipsum. Ipsum sit aliquam neque neque dolore. Aliquam etincidunt dolore voluptatem porro. Quiquia quisquam numquam est dolorem porro quisquam ut.;Yes
1246;Explainable Predictions of Adverse Drug Events from Electronic Health Records Via Oracle Coaching.;Aug;2010;45;3777-1765;Modi numquam quisquam velit dolorem quaerat quiquia tempora. Consectetur non quaerat ut ipsum. Dolore dolor sit sit dolorem. Dolor ut dolore dolorem quiquia quiquia sed sit. Numquam labore modi tempora non modi quaerat. Neque magnam etincidunt est sit magnam sed. Modi dolorem neque amet. Dolore quaerat quaerat est consectetur ut neque. Quiquia est aliquam quiquia eius quaerat magnam adipisci.;Yes
1247;Cross-Language Opinion Target Extraction in Review Texts.;Nov;2007;96;2752-2907;Etincidunt aliquam ut est sit voluptatem quaerat. Magnam magnam magnam ut amet amet neque. Eius ut sit velit amet. Adipisci quiquia labore etincidunt consectetur est quiquia labore. Adipisci quisquam voluptatem tempora. Labore numquam velit labore tempora quiquia dolor adipisci. Etincidunt quisquam dolorem dolor magnam. Dolor adipisci quaerat modi tempora. Neque consectetur porro dolorem velit voluptatem sit. Amet consectetur porro sit amet magnam ut numquam.;Yes
1248;Isolation Kernel Density Estimation.;Feb;2004;35;2420-2293;Quiquia ut ipsum sit sed quaerat. Tempora quisquam modi non magnam. Dolorem quaerat tempora dolor amet ut amet. Velit neque porro porro neque. Dolore tempora aliquam sed sit dolorem. Neque ipsum adipisci modi aliquam aliquam sit. Aliquam porro quiquia adipisci. Voluptatem eius velit ut numquam tempora dolore.;Yes
1249;Design for Time-Predictability.;Dec;2002;33;7905-1369;Voluptatem amet dolor tempora etincidunt quaerat. Quaerat modi ut adipisci consectetur dolorem. Dolor amet adipisci dolore quaerat dolor numquam. Consectetur quiquia sit ipsum quaerat. Labore numquam ipsum dolorem velit ipsum. Non velit dolor amet dolorem dolor dolore quiquia. Eius amet voluptatem dolorem aliquam ut ipsum.;Yes
1250;A Journey through the Secret Life of Models.;Mar;2003;42;5874-5303;Magnam dolorem eius dolore consectetur neque sit. Neque velit quaerat sed etincidunt. Sit quiquia labore etincidunt quaerat neque amet. Magnam numquam est ipsum porro. Etincidunt voluptatem eius adipisci etincidunt. Ipsum etincidunt eius modi porro velit.;Yes
1251;Web Service Applying Moving Target Defense.;Aug;1999;42;5023-5290;Est tempora amet sit eius ut dolore. Tempora magnam sed sed ipsum. Eius velit dolor adipisci neque eius. Dolore consectetur quiquia porro modi dolore. Quiquia labore sed dolore sit. Numquam adipisci etincidunt numquam consectetur dolore sed etincidunt.;Yes
1252;RF Sensing in the TV White Space.;May;2007;41;7448-1022;Consectetur ipsum eius dolor labore. Magnam est quisquam dolor dolorem dolor. Non adipisci sed dolorem numquam magnam labore numquam. Consectetur velit voluptatem ut dolorem quaerat. Quiquia quisquam aliquam neque ut tempora. Ut labore voluptatem neque aliquam. Non sed non quaerat ut. Dolore modi numquam tempora dolorem consectetur amet.;No
1253;A semi-automatic assembly sequence planner.;Aug;2009;89;3497-1034;Aliquam modi etincidunt numquam ipsum sit labore neque. Dolor est quaerat est tempora magnam aliquam labore. Labore dolor sit dolor. Neque neque quisquam voluptatem quiquia tempora est. Labore non neque non dolore. Aliquam eius ut voluptatem ut neque. Dolore etincidunt velit velit. Ut aliquam amet modi. Tempora non dolorem aliquam numquam ipsum voluptatem sit. Labore dolor dolore etincidunt quiquia sit neque.;Yes
1254;Development of Intelligent Automatic Door System.;Jan;2002;41;7955-7060;Amet aliquam consectetur consectetur quiquia porro. Ipsum dolor velit quiquia magnam aliquam amet. Quaerat aliquam quisquam voluptatem. Dolore aliquam aliquam dolor est non. Consectetur porro sit dolorem eius ipsum adipisci magnam. Consectetur voluptatem quiquia ipsum. Porro ipsum modi tempora numquam porro ipsum dolor. Modi velit labore quiquia. Neque labore non velit eius porro labore eius.;Yes
1255;On the Hardware Feasibility of Nonlinear Trajectory Optimization for Legged Locomotion based on a Simplified Dynamics.;May;2004;39;2650-4021;Aliquam aliquam etincidunt dolor neque porro voluptatem. Adipisci dolore labore dolore sed. Sit eius sed dolorem quaerat eius etincidunt. Etincidunt ipsum tempora quaerat labore. Voluptatem ipsum modi quaerat etincidunt. Sed quiquia amet aliquam. Modi sit sed consectetur ut est velit modi. Consectetur voluptatem est quiquia amet dolor dolor.;Yes
1256;Decentralized Control Synthesis for a Platoon of Autonomous Vehicles.;Dec;2006;93;1919-7856;Ut dolor consectetur aliquam porro. Quaerat non quaerat non non non aliquam est. Magnam tempora dolore amet magnam quisquam sed. Velit non ut voluptatem aliquam velit velit. Dolor dolore non quaerat est porro adipisci labore. Dolorem consectetur neque etincidunt aliquam velit dolor voluptatem.;Yes
1257;ERODE: An efficient and robust outlier detector and its application to stereovisual odometry.;Mar;2005;57;1407-4811;Est velit neque ut est sit porro numquam. Velit sit neque tempora quiquia est. Neque modi adipisci sed ipsum ipsum ipsum. Dolore ipsum velit quaerat adipisci labore. Tempora aliquam non eius tempora.;Yes
1258;Sensor Coverage Control Using Robots Constrained to a Curve.;Oct;2003;98;1242-6552;Porro ipsum dolor dolorem labore quiquia numquam. Quiquia quisquam non magnam numquam. Etincidunt labore porro consectetur quaerat labore porro modi. Eius etincidunt dolore etincidunt magnam sit. Consectetur aliquam amet numquam quisquam modi non dolorem.;Yes
1259;An automated system for persistent real-time truck parking detection and information dissemination.;Jun;2003;68;3487-3298;Non aliquam neque ipsum adipisci porro. Quisquam neque consectetur neque quiquia dolore porro eius. Tempora dolorem velit numquam amet ut etincidunt. Ut adipisci dolorem est. Dolorem quaerat ipsum neque neque numquam. Eius aliquam est numquam. Velit dolorem ut dolore. Etincidunt labore consectetur quaerat sed numquam ut eius. Labore consectetur ut magnam.;Yes
1260;Estimation of Environment Forces and Rigid-Body Velocities Using Observers.;Sep;2001;55;1380-7378;Labore amet amet modi ut quaerat. Adipisci quaerat voluptatem etincidunt. Quiquia ut dolor adipisci dolor adipisci tempora. Quisquam velit adipisci quisquam magnam ipsum dolore. Quiquia dolorem dolore quaerat. Est quaerat dolorem adipisci magnam numquam quiquia. Etincidunt dolore amet modi adipisci etincidunt dolor. Porro magnam est etincidunt est.;Yes
1261;Lung Segmentation for Chest Radiograph by Using Adaptive Active Shape Models.;Sep;2010;85;6188-8709;Quisquam etincidunt eius ipsum ut non ut. Etincidunt dolorem eius sed. Consectetur velit sed ipsum non consectetur quaerat amet. Quaerat quisquam numquam dolorem voluptatem velit. Magnam amet sed sed amet non numquam quisquam. Eius labore quisquam tempora aliquam non aliquam. Voluptatem voluptatem velit sit numquam consectetur magnam. Porro labore tempora quaerat quaerat ut dolore aliquam.;Yes
1262;Object Recognition in the Geometric Era: A Retrospective.;Apr;2004;76;8471-4956;Est numquam eius aliquam neque tempora amet. Est etincidunt dolorem ipsum magnam tempora sit. Numquam tempora non dolorem ut dolore quaerat sit. Labore quiquia quaerat consectetur modi numquam eius quaerat. Adipisci voluptatem voluptatem ut tempora voluptatem tempora sed. Adipisci voluptatem adipisci labore numquam amet labore. Quaerat sit eius quaerat sed sit. Sed voluptatem etincidunt eius ut dolore voluptatem. Porro quisquam sed labore velit dolor ut. Magnam sit est quisquam ut quisquam ipsum.;Yes
1263;Lane-level map-matching with integrity on high-definition maps.;Jun;2000;61;7503-1411;Ipsum quiquia dolor dolore quiquia tempora voluptatem aliquam. Etincidunt voluptatem velit consectetur eius numquam velit. Porro dolor ut voluptatem porro est. Tempora consectetur dolore velit quisquam quiquia magnam. Quisquam consectetur etincidunt est. Modi non quisquam tempora non. Voluptatem dolor tempora velit quisquam ut.;Yes
1264;Pedestrian candidates generation using monocular cues.;Aug;2002;24;1101-7422;Velit voluptatem quiquia adipisci. Sed quiquia etincidunt est dolore sed modi est. Consectetur adipisci quiquia labore quaerat aliquam tempora. Dolorem quiquia modi ipsum ut non. Quaerat ipsum adipisci magnam consectetur. Dolore dolore porro amet eius. Neque tempora amet numquam. Neque amet adipisci sit aliquam tempora porro. Tempora non consectetur sit numquam est voluptatem est.;Yes
1265;A Multipath Controller for Accelerating GridFTP Transfer over SDN.;May;2009;22;5518-7502;Tempora ipsum aliquam quiquia magnam consectetur. Eius dolore non consectetur neque est. Quiquia aliquam velit modi aliquam labore eius eius. Labore adipisci non sit dolor magnam labore dolore. Velit dolore magnam quiquia tempora consectetur modi dolor.;Yes
1266;Opportunity Space for Work-related Crime from Procurement to Production.;Aug;2006;56;4938-4537;Numquam amet ut adipisci sed modi. Sed adipisci numquam quiquia sed quisquam. Voluptatem sed numquam quisquam. Dolorem labore consectetur modi. Non ut dolore porro. Sed dolor ipsum etincidunt porro. Tempora consectetur sit dolorem ut quiquia. Sed dolorem aliquam quiquia voluptatem.;Yes
1267;LastStep: Vision-based Bus Stop Localization and Mapping for Improving Accessibility for Blind Riders: Poster Abstract.;Jul;2000;83;4001-1363;Porro consectetur sit tempora dolorem dolore. Modi eius neque eius voluptatem. Dolore quisquam dolor non amet non dolor adipisci. Labore ipsum eius dolore sed. Quisquam neque est dolore. Quiquia dolor non numquam quisquam. Labore quaerat ipsum adipisci voluptatem. Quaerat velit consectetur eius.;Yes
1268;Reducing Textural Bias Improves Robustness of Deep Segmentation Models.;May;2000;30;3485-6316;Non adipisci adipisci ut etincidunt etincidunt sed. Modi quaerat consectetur tempora neque. Dolore quiquia quaerat numquam dolor numquam eius. Dolor consectetur est amet quaerat. Dolor velit quisquam adipisci dolore amet magnam labore.;Yes
1269;Trends in Software Development Environments for Large Software Systems.;Sep;2006;73;3361-8767;Amet tempora numquam voluptatem est neque neque dolor. Velit aliquam dolorem numquam. Aliquam consectetur velit magnam dolor. Consectetur aliquam porro ut aliquam non labore. Quisquam quiquia voluptatem velit sit amet tempora dolor.;No
1270;Poster: Teaching Automation and Logistics with Virtual Industrial Process.;Oct;2002;49;7523-4326;Labore etincidunt quisquam labore magnam etincidunt. Est ipsum adipisci ut dolore. Neque velit non tempora voluptatem sed quaerat. Eius sit neque magnam quiquia. Eius velit tempora neque etincidunt. Est velit labore porro. Tempora quiquia magnam velit ipsum dolore.;Yes
